cell_id,cycle_index,normalized_cycle,split,soh,capacity_loss,Q_cell_loss
cell_001,1,0.0,train,0.9988742345523763,0.0011257654476236612,0.0011257654476236612
cell_001,2,0.005291005291005291,train,0.9980771860157689,0.0019228139842311087,0.0019228139842311087
cell_001,3,0.010582010582010581,train,0.9970045355743201,0.0029954644256798835,0.0029954644256798835
cell_001,4,0.015873015873015872,train,0.995503645399838,0.004496354600161956,0.004496354600161956
cell_001,5,0.021164021164021163,train,0.9959281167401103,0.004071883259889719,0.004071883259889719
cell_001,6,0.026455026455026454,train,0.9926692333265067,0.007330766673493305,0.007330766673493305
cell_001,7,0.031746031746031744,train,0.9921413383483341,0.007858661651665932,0.007858661651665932
cell_001,8,0.037037037037037035,train,0.991064305412453,0.00893569458754695,0.00893569458754695
cell_001,9,0.042328042328042326,train,0.9907105180876846,0.009289481912315378,0.009289481912315378
cell_001,10,0.047619047619047616,train,0.9898965377541515,0.01010346224584846,0.01010346224584846
cell_001,11,0.05291005291005291,train,0.992380488018318,0.007619511981681981,0.007619511981681981
cell_001,12,0.0582010582010582,train,0.990606514123203,0.009393485876797003,0.009393485876797003
cell_001,13,0.06349206349206349,train,0.9895677826960071,0.010432217303992908,0.010432217303992908
cell_001,14,0.06878306878306878,train,0.9883649614572263,0.011635038542773701,0.011635038542773701
cell_001,15,0.07407407407407407,train,0.9927265119574403,0.007273488042559673,0.007273488042559673
cell_001,16,0.07936507936507936,train,0.9915098414382654,0.008490158561734629,0.008490158561734629
cell_001,17,0.08465608465608465,train,0.9904935824831037,0.009506417516896293,0.009506417516896293
cell_001,18,0.08994708994708994,train,0.9887962602393745,0.011203739760625497,0.011203739760625497
cell_001,19,0.09523809523809523,train,0.9872994495107735,0.01270055048922647,0.01270055048922647
cell_001,20,0.10052910052910052,train,0.9846646486923133,0.015335351307686707,0.015335351307686707
cell_001,21,0.10582010582010581,train,0.9852112580755773,0.0147887419244227,0.0147887419244227
cell_001,22,0.1111111111111111,train,0.9833304811359193,0.016669518864080746,0.016669518864080746
cell_001,23,0.1164021164021164,train,0.9809747484161898,0.019025251583810188,0.019025251583810188
cell_001,24,0.12169312169312169,train,0.982270908525835,0.017729091474165015,0.017729091474165015
cell_001,25,0.12698412698412698,train,0.9821144683109602,0.017885531689039835,0.017885531689039835
cell_001,26,0.13227513227513227,train,0.9808994348300022,0.019100565169997807,0.019100565169997807
cell_001,27,0.13756613756613756,train,0.9838458484558332,0.016154151544166773,0.016154151544166773
cell_001,28,0.14285714285714285,train,0.9804612378556149,0.019538762144385102,0.019538762144385102
cell_001,29,0.14814814814814814,train,0.9788712349478005,0.021128765052199516,0.021128765052199516
cell_001,30,0.15343915343915343,train,0.9767303608331703,0.02326963916682967,0.02326963916682967
cell_001,31,0.15873015873015872,train,0.9762246571690306,0.02377534283096938,0.02377534283096938
cell_001,32,0.164021164021164,train,0.9788331925736048,0.021166807426395207,0.021166807426395207
cell_001,33,0.1693121693121693,train,0.9778138320408436,0.0221861679591564,0.0221861679591564
cell_001,34,0.1746031746031746,train,0.9770429494565628,0.02295705054343722,0.02295705054343722
cell_001,35,0.17989417989417988,train,0.9768103540129375,0.023189645987062524,0.023189645987062524
cell_001,36,0.18518518518518517,train,0.9768233697099077,0.023176630290092315,0.023176630290092315
cell_001,37,0.19047619047619047,train,0.9760800583117148,0.02391994168828515,0.02391994168828515
cell_001,38,0.19576719576719576,train,0.9757881178567989,0.024211882143201136,0.024211882143201136
cell_001,39,0.20105820105820105,train,0.9732255715002199,0.026774428499780067,0.026774428499780067
cell_001,40,0.20634920634920634,train,0.9710599099778288,0.02894009002217124,0.02894009002217124
cell_001,41,0.21164021164021163,train,0.9721908822280045,0.027809117771995462,0.027809117771995462
cell_001,42,0.21693121693121692,train,0.9727256861265497,0.02727431387345025,0.02727431387345025
cell_001,43,0.2222222222222222,train,0.9704033535620004,0.02959664643799964,0.02959664643799964
cell_001,44,0.2275132275132275,train,0.9721833799935485,0.027816620006451465,0.027816620006451465
cell_001,45,0.2328042328042328,train,0.9718214026449589,0.028178597355041135,0.028178597355041135
cell_001,46,0.23809523809523808,train,0.9706624279220528,0.029337572077947183,0.029337572077947183
cell_001,47,0.24338624338624337,train,0.9702626848860793,0.029737315113920748,0.029737315113920748
cell_001,48,0.24867724867724866,train,0.9693009733731452,0.030699026626854753,0.030699026626854753
cell_001,49,0.25396825396825395,train,0.9682478911000179,0.031752108899982145,0.031752108899982145
cell_001,50,0.25925925925925924,train,0.9672468389684408,0.03275316103155923,0.03275316103155923
