cell_id,cycle_index,current_mean,current_standard_deviation,current_kurtosis,current_skewness,current_window_charging_time,current_window_accumulated_charge,current_curve_slope,current_curve_entropy,voltage_mean,voltage_standard_deviation,voltage_kurtosis,voltage_skewness,voltage_window_charging_time,voltage_window_accumulated_charge,voltage_curve_slope,voltage_curve_entropy,chemistry_code,nominal_capacity_ah,upper_cutoff_voltage,lower_cutoff_voltage,ambient_temperature_c,protocol_code,cell_age_group
cell_001,1,0.3103741050563737,0.011785698117057153,2.380899768663144,0.1289338929788208,832.9363667696134,0.44254845682011956,-0.004541753352491017,3.1838279728233045,4.0443069789101,0.023744657769577085,2.559018184109928,-0.06321984223207852,748.9944032761756,0.5396055170482152,0.003323755467469362,2.983983825882924,0,1.981025444459385,4.2,3.0,34.98655907399657,0,2
cell_001,2,0.3008387667543664,0.013234040556231575,2.3975391195424653,0.11941634610832814,835.2274998639004,0.4380473594623153,-0.002410053437668091,3.187245238563925,4.04397551784113,0.022904401344570443,2.557522886513379,-0.07008954872642671,753.4145000993063,0.5429037175579666,0.0029103292524985886,2.9817603947659603,0,1.981025444459385,4.2,3.0,34.98655907399657,0,2
cell_001,3,0.29553652165945976,0.014985659888111185,2.3676454412474,0.13225535939779562,838.9041001641542,0.4417999640557876,-0.002409571559830629,3.1585861686017878,4.0432668070869,0.023478281808757603,2.5606201812762106,-0.08106165797454822,757.2701255276125,0.5374810633243692,0.005156024741081925,2.964997256683975,0,1.981025444459385,4.2,3.0,34.98655907399657,0,2
cell_001,4,0.29362184845631406,0.01414144808268015,2.376188344581806,0.1342140563574184,837.3288443777252,0.4387248117414052,-0.0021286377694919147,3.1739273208373318,4.0407672783681825,0.02266999863010329,2.557525056821803,-0.07287060253994349,751.7177814691012,0.542736064352814,0.0032785203519069147,2.982591714612217,0,1.981025444459385,4.2,3.0,34.98655907399657,0,2
cell_001,5,0.2815944859573873,0.013670614122453937,2.3543620741920286,0.12105911648142197,837.0336421444742,0.4361008568696696,-0.002627853151472895,3.1706660546863783,4.0437530053454696,0.024850288356450367,2.576145518880661,-0.07096399969901519,750.5227193026628,0.5387465033544416,0.0037465896675163025,2.9657074773998455,0,1.981025444459385,4.2,3.0,34.98655907399657,0,2
cell_001,6,0.25548442018285983,0.008753448477260343,2.372741884704635,0.11617254414957412,838.4892650431298,0.4444760805481058,-0.0038373797668869196,3.1863080987141417,4.040923085286822,0.024116148407291985,2.5585060000683275,-0.0834883206207338,756.0185745996441,0.5331788495616483,0.0045009030107769025,2.984944572179541,0,1.981025444459385,4.2,3.0,34.98655907399657,0,2
cell_001,7,0.2520305816347309,0.012736641392925298,2.3583581508904556,0.12942131799165704,840.956783323317,0.4454277397607587,-0.0036885871076817772,3.1667242500732975,4.0433194549020115,0.024733256666905245,2.590349108961339,-0.07043964582937359,754.0652402704412,0.544609325848301,0.0022974393837480907,2.977339758300095,0,1.981025444459385,4.2,3.0,34.98655907399657,0,2
cell_001,8,0.2779783407159569,0.007619742572895232,2.377500728603076,0.12476385025517536,833.3343595946556,0.43565331094540044,-0.0029553489453478703,3.1886020304839233,4.047206455032176,0.028476170409635883,2.5780380305229085,-0.0916269533166563,743.1964788877576,0.5399606761698168,0.0028281859622963194,2.9800259018189346,0,1.981025444459385,4.2,3.0,34.98655907399657,0,2
cell_001,9,0.2838582716451633,0.016578283347302415,2.37022339817437,0.12574296206059643,835.9202109366774,0.43314363403172407,-0.004053255436038319,3.178796441618964,4.0465890203987716,0.02470773163863879,2.5860802407914765,-0.08629600831137747,747.681495756333,0.5353509240059972,0.0029545183866057216,3.0034305642971293,0,1.981025444459385,4.2,3.0,34.98655907399657,0,2
cell_001,10,0.3079217551242164,0.00954415165421313,2.3830553056570776,0.1323374056625925,841.1209193114728,0.43887807859270406,-0.004298736206852675,3.1850576247306868,4.041347899710013,0.02291353493822031,2.555728443216637,-0.07904012607497596,760.5901791305832,0.5392027904984557,0.0037956655097404726,2.9871973434146284,0,1.981025444459385,4.2,3.0,34.98655907399657,0,2
